Producto, Volumen mtro3
290 , 0.00112500 
291 , 0.03341599 
292 , 0.00285600 
293 , 0.00094812 
294 , 0.00030000 
295 , 0.00100000 
296 , 0.00031500 
297 , 0.76370000 
298 , 0.00029000 
299 , 0.00029000 
300 , 0.03770000 
301 , 0.02358000 
302 , 0.00095390 
303 , 0.00600000 
304 , 0.00057302 
305 , 0.00100000 
306 , 0.40514400 
307 , 0.01373500 
308 , 0.02070027 
309 , 0.00255400 
310 , 0.01440517 
311 , 0.00095680 
312 , 0.06000000 
313 , 0.00056000 
314 , 0.00100000 
315 , 0.00060100 
316 , 0.00112500 
317 , 0.00150000 
318 , 0.76370000 
319 , 0.06000000 
320 , 0.00010000 
321 , 0.00715900 
322 , 0.00032200 
323 , 0.07182400 
324 , 0.01728100 
325 , 0.00095680 
326 , 0.00095680 
327 , 0.02070027 
328 , 0.62437233 
329 , 0.00013200 
330 , 0.00095680 
331 , 0.00112500 
332 , 0.00061861 
333 , 0.00054000 
334 , 0.01000000 
335 , 0.00095680 
336 , 0.00001680 
337 , 0.00024000 
338 , 0.00095680 
339 , 0.00100000 
340 , 0.22312500 
341 , 0.00001276 
342 , 0.00053478 
343 , 0.00100000 
344 , 0.00060300 
345 , 0.03232226 
346 , 0.00056000 
347 , 0.08993931 
348 , 0.00047880 
349 , 0.00056000 
350 , 1.23560000 
351 , 0.00099580 
352 , 0.00100000 
353 , 0.00138274 
354 , 0.10157854 
355 , 0.01900000 
356 , 0.00095680 
357 , 0.09332900 
358 , 0.01919300 
359 , 0.03125500 
360 , 0.00100000 
361 , 0.01379400 
362 , 0.00118100 
363 , 0.00707480 
364 , 0.17000000 
365 , 0.00112500 
366 , 0.00623500 
367 , 0.01728100 
368 , 0.05000000 
369 , 0.00035347 
370 , 0.00100000 
371 , 0.07844938 
372 , 0.30598365 
373 , 0.00112500 
374 , 0.02254992 
375 , 0.72300000 
376 , 0.00067310 
377 , 0.00010000 
378 , 0.10300000 
379 , 0.08797584 
380 , 0.04694200 
381 , 0.00642000 
382 , 0.02102600 
383 , 0.01373500 
384 , 0.00060300 
385 , 0.00095680 
386 , 0.01112900 
387 , 0.00026600 
388 , 0.00791800 
389 , 0.00042600 
390 , 0.21719100 
391 , 0.26652700 
392 , 0.02102600 
393 , 0.00095680 
394 , 0.00988000 
395 , 0.09332900 
396 , 0.38400000 
397 , 0.04000000 
